Token,9999,LABEL:UYYbisXZ,Paragraph_ID,Book_Paragraph_ID,Paragraph_Reference,CollectedHitRankSummary,CollectedHits,TokensInParagraph,TotalUniquedScore,TotalUniquedScorePercentage,TotalHitCount,HitTypeTokenRatio,SummaryUnique_Hits_U,Unique_Hits_U,SummaryUnique_Hits_Y,Unique_Hits_Y,SummaryUnique_Hits_Ybis,Unique_Hits_Ybis,SummaryUnique_Hits_X,Unique_Hits_X,SummaryUnique_Hits_Z,Unique_Hits_Z,Paragraph_(lemmatized),Paragraph_(tokenized),Annotator 1,RQ1_Score,RQ1_Notes,RQ2_Score,RQ2_Notes,Remarks for further research
-- content[1] general[1] -- -- --,6,NYNNN,P_000006,B_0000P_0006,Friesean1930.p.6,Y:3:2,-- content[1] general[1] -- -- --,102,2,1.96,2,100,n.a.,--,Y:3:2,content[1] general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:if we consider the most recent philosophical doctrine , we find that most of they oppose transcendental idealism in principle . it be especially the philosophy of immanence of mach ' s school that be widespread among researcher in the exact science and indeed it dominate almost absolutely . this philosophy claim to be able to eliminate the notion of existence in general and to get by with the notion of phenomenon . accord to it , there be fundamentally no other kind of knowledge than perceive , remember , follow the sequence of representation and compare the content of representation .","TOK:If we consider the most recent philosophical doctrines , we find that most of them oppose transcendental idealism in principle . It is especially the philosophy of immanence of Mach ’ s school that is widespread among researchers in the exact sciences and indeed it dominates almost absolutely . This philosophy claims to be able to eliminate the notion of existence in general and to get by with the notion of phenomenon . According to it , there is fundamentally no other kind of knowledge than perceiving , remembering , following the sequence of representations and comparing the contents of representation .",FX,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000007,B_0000P_0007,Friesean1930.p.7,Y:3:1,-- general[1] -- -- --,110,1,0.91,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:the difficulty of this position be know to you . i need not consider they more closely . i would only like to point out that willy freytag in his book realism and the problem of transcendence ( vide [ ? ] ) explain very well the weakness of the position of immanence . moritz schlick also follow this book in certain part of his general theory of knowledge ( vide [ ? ] ); however , he again slip back into the position of immanence in another way when characterize cognition as recognition from the outset , thus restrict cognition again to a mere comparison of the give .","TOK:The difficulties of this position are known to you . I need not consider them more closely . I would only like to point out that Willy Freytag in his book Realism and the Problem of Transcendence ( vide [ ? ] ) explains very well the weaknesses of the position of immanence . Moritz Schlick also follows this book in certain parts of his General Theory of Knowledge ( vide [ ? ] ); however , he again slips back into the position of immanence in another way when characterizing cognition as recognition from the outset , thus restricting cognition again to a mere comparison of the given .",,-1,,-1,,
-- content[1] -- -- --,3,NYNNN,P_000008,B_0000P_0008,Friesean1930.p.8,Y:3:1,-- content[1] -- -- --,108,1,0.93,1,100,n.a.,--,Y:3:1,content[1],n.a.,--,n.a.,--,n.a.,--,"LEM:phenomenalism have receive certain refinement . one of these be find today in the russellian school of mathematical logic . here the domain of the intuitively give be enlarge by certain logical construction . it be characteristic in this connection that one essentially deal here only with class construction , that be only with an abstract kind of comparison . what be unite into class be either content of representation or class already construct . in principle one do not go with this beyond phenomenalism , for mach and his school as well have consider the construction of concept as essential in addition to direct intuitive representation .","TOK:Phenomenalism has received certain refinements . One of these is found today in the Russellian school of mathematical logic . Here the domain of the intuitively given is enlarged by certain logical constructions . It is characteristic in this connection that one essentially deals here only with class constructions , that is only with an abstract kind of comparison . What is united into classes are either contents of representations or classes already constructed . In principle one does not go with this beyond phenomenalism , for Mach and his school as well have considered the construction of concepts as essential in addition to direct intuitive representations .",,-1,,-1,,
-- contentual[1] -- -- --,3,NYNNN,P_000009,B_0000P_0009,Friesean1930.p.9,Y:3:1,-- contentual[1] -- -- --,194,1,0.52,1,100,n.a.,--,Y:3:1,contentual[1],n.a.,--,n.a.,--,n.a.,--,"LEM:but the tendency to a restriction to the immanent be quite widespread not only in those approach to philosophy that be tie to the exact science but also in the philosophy characterize as spiritual . an especially remarkable and engaging form of the standpoint of immanence be that adopt in husserl ' s phenomenological school . there the principle of displayability of every single phenomenon be pose as a methodological guideline , i . e . the requirement that every concept or term introduce be justify by display a phenomenon determine by it . if this principle be understand in a sufficiently wide sense , there be nothing to object against it . but there be the obvious interpretation , and it be apply by many follower of the school , accord to which our reasoning have to remain in the domain of phenomenon , i . e . contentual representation , that therefore nothing beyond the give can be reasonably think of at all . by the way , it be remarkable that oskar becker in his book mathematical existence ( vide [ ? ] ) recently call this standpoint transcendental idealism .","TOK:But the tendency to a restriction to the immanent is quite widespread not only in those approaches to philosophy that are tied to the exact sciences but also in the philosophy characterized as spiritual . An especially remarkable and engaging form of the standpoint of immanence is that adopted in Husserl ’ s phenomenological school . There the principle of displayability of every single phenomenon is posed as a methodological guideline , i . e . the requirement that every concept or term introduced be justified by displaying a phenomenon determined by it . If this principle is understood in a sufficiently wide sense , there is nothing to object against it . But there is the obvious interpretation , and it is applied by many followers of the school , according to which our reasoning has to remain in the domain of phenomena , i . e . contentual representation , that therefore nothing beyond the given can be reasonably thought of at all . By the way , it is remarkable that Oskar Becker in his book Mathematical Existence ( vide [ ? ] ) recently called this standpoint transcendental idealism .",,0,domain of phenomena=contentual presentation. this paragraph shed on the notion of contentual as having an epistemological-phenomenological flavour,-1,,
-- content[1] contentual[1] generally[1] -- -- --,9,NYNNN,P_000010,B_0000P_0010,Friesean1930.p.10,Y:3:3,-- content[1] contentual[1] generally[1] -- -- --,155,3,1.94,3,100,n.a.,--,Y:3:3,content[1] contentual[1] generally[1],n.a.,--,n.a.,--,n.a.,--,"LEM:among the philosophical direction know today there be arguably not a single one that be oppose to the position just mention as fundamentally as the doctrine of fry . fry lay stress on exactly what all these philosopher endeavor to argue away , namely the fundamental transcending of the contentual standpoint by the form of thought . the categorial formation of the judgment can only be understand as the expression of a "" demand of cognition , "" as expression of a search , guide by a belief that be already inherent opaquely in every perception and generally in every state of consciousness , but which make itself explicit in a clear form only through thought . this belief give we the conviction that the content find in experience be to be relate to a reality , to a unity of exist object , that be in itself real and structure into real connection .","TOK:Among the philosophical directions known today there is arguably not a single one that is opposed to the positions just mentioned as fundamentally as the doctrine of Fries . Fries laid stress on exactly what all these philosophers endeavor to argue away , namely the fundamental transcending of the contentual standpoint by the forms of thought . The categorial formation of the judgment can only be understood as the expression of a “ demand of cognition , ” as expression of a search , guided by a belief that is already inherent opaquely in every perception and generally in every state of consciousness , but which makes itself explicit in a clearer form only through thought . This belief gives us the conviction that the contents found in experience are to be related to a reality , to a unity of existing objects , that is in itself real and structured into real connections .",,0,,0,,
-- content[2] -- -- --,3,NYNNN,P_000011,B_0000P_0011,Friesean1930.p.11,Y:3:1,-- content[2] -- -- --,165,1,0.61,2,50,n.a.,--,Y:3:1,content[2],n.a.,--,n.a.,--,n.a.,--,"LEM:it can be explain why one have serious problem in make up one ' s mind to accept this doctrine . first of all , one would like to have a standpoint with as few presupposition as possible , and with the assumption of the rational belief too much seem to be postulate at the outset . upon close examination , this objection do not apply to the friesian doctrine of conceptual knowledge as such , but to the view that the content of this knowledge can be render in entirely distinct , definitely formulate principle . anyway , i would like to point out that the fundamental idea of the friesian doctrine be by all mean compatible with the fact that the way in which , in the investigation of nature , we relate the content of experience to exist object by reasoning be not determine in knowledge but belong itself to the task of research that be give to we by reason .","TOK:It can be explained why one has serious problems in making up one ’ s mind to accept this doctrine . first of all , one would like to have a standpoint with as few presuppositions as possible , and with the assumption of the rational belief too much seems to be postulated at the outset . Upon closer examination , this objection does not apply to the Friesian doctrine of conceptual knowledge as such , but to the view that the content of this knowledge can be rendered in entirely distinct , definitely formulated principles . Anyway , I would like to point out that the fundamental idea of the Friesian doctrine is by all means compatible with the fact that the way in which , in the investigation of nature , we relate the contents of experience to existing objects by reasoning is not determined in knowledge but belongs itself to the task of research that is given to us by reason .",,-1,,-1,,
-- content[2] contentual[2] -- -- --,6,NYNNN,P_000012,B_0000P_0012,Friesean1930.p.12,Y:3:2,-- content[2] contentual[2] -- -- --,332,2,0.6,4,50,n.a.,--,Y:3:2,content[2] contentual[2],n.a.,--,n.a.,--,n.a.,--,"LEM:there be however another reason for the resistance against the friesian doctrine . i leave out of consideration here the know difficulty relate to the question of the correct characterization of the mode of existence of reason and its expression . it have be very much discuss , especially in our school , whether conceptual knowledge have to be regard psychologically as a faculty or as a continuous activity . these be difficulty and problem but not really objection ; they be objection only for the one who , again in the domain of psychology , intend to carry out the standpoint of a complete restriction to content . fry think in this respect more vitally ; he do not want to be content with a theory of psychological phenomenon , but aim at a theory of the unit of life ; and i think we have reason to agree with he in this respect . what form , however , a more substantial reason for the resistance against the friesian claim be that on close inspection one recognize that one be thereby already necessarily push towards transcendental idealism . because in the fact that conceptual knowledge make itself feel in the form of a categorial requirement of an existential relation ( otherwise no more precisely determined ) to a world of exist , there lie already the division of truth . both the contentual and the categorical form belong to knowledge as such . accord to the position of naive realism we believe to find both united and to have in common perception complete knowledge before we . close inspection force we in a well-known way to give up this position ; it become manifest to we that the experiential uniform perception consist of two distinct part in regard to knowledge : the givenness of a contentual material and the existential reference to the unity of reality in which the former have to be integrate in a manner initially unknown .","TOK:There is however another reason for the resistance against the Friesian doctrine . I leave out of consideration here the known difficulties related to the question of the correct characterization of the mode of existence of reason and its expressions . It has been very much discussed , especially in our school , whether conceptual knowledge has to be regarded psychologically as a faculty or as a continuous activity . These are difficulties and problems but not really objections ; they are objections only for the one who , again in the domain of psychology , intends to carry out the standpoint of a complete restriction to contents . Fries thought in this respect more vitally ; he did not want to be content with a theory of psychological phenomena , but aimed at a theory of the unit of life ; and I think we have reason to agree with him in this respect . What forms , however , a more substantial reason for the resistance against the Friesian claims is that on closer inspection one recognizes that one is thereby already necessarily pushed towards transcendental idealism . Because in the fact that conceptual knowledge makes itself felt in the form of a categorial requirement of an existential relation ( otherwise no more precisely determined ) to a world of existing , there lies already the division of truth . Both the contentual and the categorical form belong to knowledge as such . According to the position of naive realism we believe to find both united and to have in common perception complete knowledge before us . Closer inspection forces us in a well-known way to give up this position ; it becomes manifest to us that the experiential uniform perception consists of two distinct parts in regard to knowledge : the givenness of a contentual material and the existential reference to the unity of reality in which the former has to be integrated in a manner initially unknown .",,-1,,-1,,
-- content[1] general[1] -- -- --,6,NYNNN,P_000013,B_0000P_0013,Friesean1930.p.13,Y:3:2,-- content[1] general[1] -- -- --,78,2,2.56,2,100,n.a.,--,Y:3:2,content[1] general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:the fundamental imperfection of our knowledge be base on this . we know the content of our experience and can talk about they ; but how to interpret they as proper truth be only very fragmentarily know , although to an extent that be sufficient for the purpose of our practical standard of living , within which we help ourselves with a general attitude base on belief in those domain where our scientific knowledge no long suffice .","TOK:The fundamental imperfection of our knowledge is based on this . We know the contents of our experience and can talk about them ; but how to interpret them as proper truth is only very fragmentarily known , although to an extent that is sufficient for the purposes of our practical standards of living , within which we help ourselves with a general attitude based on beliefs in those domains where our scientific knowledge no longer suffices .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000015,B_0000P_0015,Friesean1930.p.15,Y:3:1,-- general[1] -- -- --,233,1,0.43,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:such a condition be , in the first place , the connection to perception . the consideration which force we to give up naive realism and in general to eliminate sensible quality in the physical reflection have to be impute to the antinomy . the discursive character of science be a further essential condition that come from the fact that conceptual knowledge be convey to we through thought . in fact even here something arise which in any case be inadequate to reality , namely the hypothetical form of the law of nature . it be not in accordance with the idea of a real connection that the latter consist in a law accord to which something take place under certain circumstance . such a law can only be a reason but not a real cause . thus , while the aforementioned antinomy refer to the fact that we don ' t have knowledge of exist in its essence but only as something that stand in certain relation , the second antinomy concern the lack of essence of the connection . the existence of still other antinomy , especially of the kind pose by kant , should in no way be dispute in principle . but in any case a revision of the give , which go far than what have be carry out so far in our school , be necessary .","TOK:Such a condition is , in the first place , the connection to perception . The considerations which force us to give up naive realism and in general to eliminate sensible qualities in the physical reflection have to be imputed to the antinomies . The discursive character of science is a further essential condition that comes from the fact that conceptual knowledge is conveyed to us through thought . In fact even here something arises which in any case is inadequate to reality , namely the hypothetical form of the laws of nature . It is not in accordance with the idea of a real connection that the latter consists in a law according to which something takes place under certain circumstances . Such a law can only be a reason but not a real cause . Thus , while the aforementioned antinomy refers to the fact that we don ’ t have knowledge of existing in its essence but only as something that stands in certain relations , the second antinomy concerns the lack of essence of the connection . The existence of still other antinomies , especially of the kind posed by Kant , should in no way be disputed in principle . But in any case a revision of the given , which goes farther than what has been carried out so far in our school , is necessary .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000017,B_0000P_0017,Friesean1930.p.17,Y:3:1,-- general[1] -- -- --,134,1,0.75,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:likewise , einstein ' s general relativity theory by no means conform to the tendency of a pure phenomenalism . the lawfulness of the space-time manifold be here introduce purely conceptually through the assumption of a metric field that form a physical object analogous to the electromagnetic field . the quantitative distribution of this field be correspondingly determine by spatio-temporal measurement , similarly to the way the shape of the earth be determine by measurement of length on the base of our ordinary intuition of space . however , whereas the earth transcend our power of imagination only because of its size , the metric field be in principle out of the range of the intuitively imaginable on account of the union of the spatial and the temporal which take place in it .","TOK:Likewise , Einstein ’ s general relativity theory by no means conforms to the tendencies of a pure phenomenalism . The lawfulness of the space-time manifold is here introduced purely conceptually through the assumption of a metric field that forms a physical object analogous to the electromagnetic field . The quantitative distribution of this field is correspondingly determined by spatio-temporal measurements , similarly to the way the shape of the earth is determined by measurements of lengths on the base of our ordinary intuition of space . However , whereas the earth transcends our power of imagination only because of its size , the metric field is in principle out of the range of the intuitively imaginable on account of the union of the spatial and the temporal which takes place in it .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000019,B_0000P_0019,Friesean1930.p.19,Y:3:1,-- general[1] -- -- --,84,1,1.19,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:thus , one rightly dispute the kantian claim that geometry and physic be bind by the framework of our intuitive representation of space and time as a condition of possibility of scientific knowledge . in fact , in its abstraction geometry go far beyond the framework of the intuitive representation of space by having develop into a general theory of order manifold endow with topological relation within which the law of euclidean geometry form only a special structural lawfulness distinguish by systematic advantage .","TOK:Thus , one rightly disputes the Kantian claim that geometry and physics are bound by the framework of our intuitive representations of space and time as a condition of possibility of scientific knowledge . In fact , in its abstractions geometry goes far beyond the framework of the intuitive representation of space by having developed into a general theory of ordered manifolds endowed with topological relations within which the laws of Euclidean geometry form only a special structural lawfulness distinguished by systematic advantages .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000023,B_0000P_0023,Friesean1930.p.23,Y:3:1,-- general[1] -- -- --,67,1,1.49,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:it "" contain the most general abstraction which can be do for mathematical knowledge whatsoever . it be solely base on the postulate of the arbitrary order of give element and their arbitrary repetition without end . it have no proper theory , for it do not know any axiom ; its operation be for themselves immediately comprehensible . . . "" ( p . 70 )","TOK:It “ contains the most general abstraction which can be done for mathematical knowledge whatsoever . It is solely based on the postulates of the arbitrary order of given elements and their arbitrary repetition without end . It has no proper theory , for it does not know any axioms ; its operations are for themselves immediately comprehensible . . . ” ( p . 70 )",,-1,,0,,
-- generally[1] -- -- --,3,NYNNN,P_000025,B_0000P_0025,Friesean1930.p.25,Y:3:1,-- generally[1] -- -- --,42,1,2.38,1,100,n.a.,--,Y:3:1,generally[1],n.a.,--,n.a.,--,n.a.,--,"LEM:"" the purpose of the number system be generally to reduce the knowledge of quantity to concept , i . e . to recognize the relationship between quantity not only intuitively but also through thought . "" ( p . 121 )","TOK:“ The purpose of the number system is generally to reduce the knowledge of quantity to concepts , i . e . to recognize the relationships between quantities not only intuitively but also through thought . ” ( p . 121 )",,-1,,-1,,
