"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TP98BSJS","journalArticle","1928","Bernays, Paul; Schönfinkel, Moses","Zum Entscheidungsproblem der mathematischen Logik","","","","","","","1928","2024-03-02 19:30:05","2024-03-02 19:58:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA363RS6","journalArticle","1928","Bernays, Paul","Über Nelsons Stellungnahme in der Philosophie der Mathematik","Die Naturwissenschaften","","","","","","1928","2024-03-02 19:30:05","2024-03-02 19:40:04","","142-145","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4JZNRWB","journalArticle","1922","Bernays, Paul","Über Hilberts Gedanken zur Grundlegung der Arithmetik","Jahresberichte der Deutschen Mathematiker-Vereinigung","","","","","","1922","2024-03-02 19:30:05","2024-04-01 17:44:02","","10-19","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GWNHK2C","manuscript","1927","Bernays, Paul","Zusatz zu Hilberts Vortrag über ”Die Grundlagen der Mathematik“","","","","","","","1927","2024-03-02 19:30:05","2024-04-01 17:46:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9MCSUHR","manuscript","1924","Hilbert, David","Über das Unendliche","","","","","","","1924","2024-03-02 19:30:04","2024-04-01 17:35:29","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7CVCMJ9","journalArticle","1937","Bernays, Paul","Thesen und Bemerkungen zu den philosophischen Fragen und zur Situation der logisch-mathematischen Grundlagenforschung","Travaux IX Congre `s International de Philosophie","","","","","","1937","2024-03-02 19:30:04","2024-03-02 19:43:27","","104-110","","VI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ83XZRF","journalArticle","1935","Bernays, Paul","Sur le platonisme dans les Mathématique","L’enseignement mathematique","","","","","","1935","2024-03-02 19:30:04","2024-03-02 19:43:12","","52-69","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK3P6E2K","journalArticle","1935","Bernays, Paul","Quelques points essentiels de la métamathématiques.","L’Enseignement Mathématique","","","","","","1935","2024-03-02 19:30:04","2024-03-02 19:42:28","","70–95","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWAJN64K","journalArticle","1932","Bernays, Paul","Methoden des Nachweises von Widerspruchsfreiheit und ihre Grenzen","Internationaler Mathematiker-Kongreß Zürich","","","","","","1932","2024-03-02 19:30:04","2024-04-01 18:38:03","","201-202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDW4ECJC","letter","1928","Bernays, Paul","Letter to Weyl, January 1928","","","","","","","1928","2024-03-02 19:30:04","2024-03-02 19:35:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
