"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WYZ3NCYF","journalArticle","1891","Hilbert, David","Über die stetige Abbildung einer Linie auf ein Flächenstück","Mathem. Annalen","","","","","","1891","2024-03-27 16:00:18","2024-03-27 23:13:38","","459-460","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIPMFDL7","journalArticle","1897","Hilbert, David","Über die Entwicklung einer beliebigen analytischen Funktion einer blen in eine unendliche nach ganzen rationalen Funktionen fortschreitende Reihe","Göttinger Nachrichten","","","","","","1897","2024-03-27 16:01:15","2024-03-27 16:01:46","","63-70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2QEAAPN","journalArticle","1905","Hilbert, David","Über das Dirichletsche Prinzip","J . reine angew. Math.","","","","","","1905","2024-03-27 16:01:46","2024-03-27 23:14:13","","63-67","","","129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNPJ8HKA","journalArticle","1904","Hilbert, David","Über das Dirichletsche Prinzip","Mathem. Annalen","","","","","","1904","2024-03-27 16:02:30","2024-03-27 23:14:09","","161-186","","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF5HLCPI","journalArticle","1906","Hilbert, David","Zur Variationsrechnung","Mathem. Annalen","","","","","","1906","2024-03-27 16:03:13","2024-03-27 23:14:21","","351-370","","","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HG4DTMZ","journalArticle","1909","Hilbert, David","Wesen und Ziele einer Analysis der unendlichvielen unabhängigen Variablen","Rend. del. Circolo mat. di Palermo","","","","","","1909","2024-03-27 16:03:54","2024-03-27 23:14:26","","59-74","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VD8TYKZG","journalArticle","1909","Hilbert, David","Zur Theorie der konformen Abbildung","Göttinger Nachrichten","","","","","","1909","2024-03-27 16:04:26","2024-03-27 16:04:53","","314-323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UW6FMKRG","journalArticle","1912","Hilbert, David","Über den Begriff der Klasse von Differentialgleichungen","Mathem. Annalen","","","","","","1912","2024-03-27 16:05:07","2024-03-27 23:14:35","","95-108","","","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXHMI66H","journalArticle","1918","Hilbert, David","Axiomatisches Denken","Mathem. Annalen","","","","","","1918","2024-03-27 16:05:50","2024-03-27 23:14:44","","405-415","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNUNKAIK","journalArticle","1922","Hilbert, David","Neubegründung der Mathematik. Erste Mitteilung","Abhandl . aus dem Math. Seminar d.Hamb. Univ.","","","","","","1922","2024-03-27 16:06:24","2024-03-27 23:14:56","","157-177","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
